RVL;VW;Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon
West;13;505412;Reisezentrum Köln/Bonn Flughafen;;;Terminal 2;51147;Köln;;Reisezentrum;09:00-12:30;13:00-18:00;;09:00-12:30;13:00-18:00;;09:00-12:30;13:00-18:00;;09:00-12:30;13:00-18:00;;09:00-12:30;13:00-18:00;;;;;;;;50879340;7118170
West;13;503482;Reisezentrum Köln-Messe/Deutz;;;Ottoplatz 7;50679;Köln;;Reisezentrum;06:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-20:00;;;08:00-17:00;;;10:00-18:00;;;50940269;6975170
West;13;505388;Reisezentrum Köln-Mülheim;;;Montanusstraße;51065;Köln;;Reisezentrum;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;;;;;;;50958670;7013354
West;13;504209;Reisezentrum Krefeld Hbf;;;Am Hauptbahnhof 1;47798;Krefeld;;Reisezentrum;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-14:30;;;;;;51326428;6569083
West;13;504126;Reisezentrum Leverkusen Mitte;;;Heinrich-v.-Stephan-Str. 1;51373;Leverkusen;;Reisezentrum;07:00-11:30;12:15-15:00;;09:00-12:15;13:00-17:00;;09:00-12:15;13:00-17:00;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-17:00;;;;;;;;51031429;6990982
West;13;504068;Reisezentrum Lippstadt;;;Rixbeckerstr. 2;59555;Lippstadt;;Reisezentrum;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-13:00;;;;;;51671254;8348992
West;13;503896;Reisezentrum Minden (Westf);;;Bundesbahnhof 12;32423;Minden (Westf.);;Reisezentrum;06:30-18:15;;;06:30-18:15;;;06:30-18:15;;;06:30-18:15;;;06:30-18:15;;;08:00-16:00;;;10:00-18:00;;;52290017;8934064
West;13;503946;Reisezentrum Mönchengladbach Hbf;;;Europaplatz 1;41061;Mönchengladbach;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;09:00-16:00;;;;;;51197549;6445220
West;13;504043;Reisezentrum Mülheim (Ruhr) Hbf;;;Dieter aus dem Siepen Pl. 3;45468;Mülheim;;Reisezentrum;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-14:00;;;;;;51431233;6885853
West;13;503839;Reisezentrum Münster (Westf) Hbf;;;Berliner Platz 29;48143;Münster;;Reisezentrum;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;09:00-20:00;;;51956623;7634552
